,OccBeds,MaxBeds,OccCovBeds,CovLvl3Beds,MaxCovBeds,FreeNurse,Wait,CovWait,CovArrive,CovNotTreated,CovDeaths,SideroomWard,SideroomITU,WardBeds,CovWardBeds,run,CovLvl2Beds
0,1.966667,10,30.493333,14.426667,2706,3440.52,0,0.006667,13.693333,0,3.566667,0,3.633333,214.093333,1.573333,75.5,16.066667
1,2.753333,10,29.9,16.02,2706,3443.713333,0,0,15.013333,0,2.106667,0,4.033333,194.373333,4.093333,75.5,13.88
2,3.34,10,31.306667,17.246667,2706,3442.2,0,0.026667,16.38,0,1.786667,0,4.006667,181.806667,4.906667,75.5,14.06
3,3.966667,10,29.886667,18.646667,2706,3445.44,0.006667,0.006667,18.386667,0,1.626667,0,4.953333,161.233333,9.653333,75.5,11.24
4,4.233333,10,33.633333,20.713333,2706,3440,0,0.013333,19.133333,0,1.326667,0,5.073333,128.96,9.653333,75.5,12.92
5,4.606667,10,34.753333,23.08,2706,3439.3,0.006667,0.006667,21.26,0,1.38,0,5.793333,99.68,12.946667,75.5,11.673333
6,4.906667,10,38.026667,25.54,2706,3434.686667,0,0,22.893333,0,1.426667,0,6.04,78.42,14.286667,75.5,12.486667
7,4.1,10,41.893333,28.24,2706,3429.753333,0,0.02,23.693333,0,1.52,0,6.34,51.24,15.253333,75.5,13.653333
8,4.326667,10,46.193333,30.88,2706,3422.68,0,0.013333,26.893333,0,1.68,0,7.16,32.946667,16.453333,75.5,15.313333
9,4.493333,10,50.626667,34.36,2706,3415.22,0,0.026667,28.74,0,1.773333,0,7.58,6.78,17.82,75.5,16.266667
10,4.733333,10,54.746667,38.06,2706,3408.126667,0.006667,0.013333,30.866667,0,1.92,0,7.953333,7.533333,18.16,75.5,16.686667
11,4.766667,10,59.546667,42.046667,2706,3400.273333,0.026667,0.013333,33.933333,0,2.166667,0,8.96,8.366667,17.646667,75.5,17.5
12,5.013333,10,64.266667,46.5,2706,3392.053333,0.026667,0.02,35.866667,0,2.626667,0,9.48,8.886667,18.973333,75.5,17.766667
13,4.933333,10,69.273333,49.8,2706,3383.893333,0.006667,0,38.386667,0,2.833333,0,9.766667,9.766667,16.126667,75.5,19.473333
14,5.093333,10,75.626667,54.733333,2706,3373.486667,0.013333,0.013333,43.313333,0,2.92,0,11.186667,10.24,18.033333,75.5,20.893333
15,5.18,10,82.753333,59.746667,2706,3362.206667,0.02,0.02,46.093333,0,2.833333,0,12.146667,10.693333,17,75.5,23.006667
16,5.206667,10,90.253333,64.573333,2706,3350.413333,0.02,0.02,50,0,3.346667,0,13.113333,11.033333,18.24,75.5,25.68
17,5.34,10,98.906667,70.36,2706,3336.586667,0,0.013333,54.4,0,3.773333,0,14.766667,11.266667,19.98,75.5,28.546667
18,5.26,10,107.893333,75.88,2706,3322.113333,0,0.013333,58.433333,0,3.953333,0,15.34,11.646667,21.513333,75.5,32.013333
19,5.246667,10,116.866667,81.96,2706,3307.28,0.006667,0.033333,62.2,0,4.24,0,16.3,11.746667,23.68,75.5,34.906667
20,5.446667,10,127.06,88.9,2706,3290.066667,0.013333,0.02,67.753333,0,4.58,0,17.8,11.846667,25.266667,75.5,38.16
21,5.18,10,137.16,95.986667,2706,3273.706667,0,0.026667,73.733333,0,4.96,0,18.68,11.066667,27.346667,75.5,41.173333
22,5.326667,10,148.326667,103.8,2706,3255.713333,0.02,0.02,80.206667,0,5.46,0,20.76,11.193333,29.713333,75.5,44.526667
23,5.24,10,160.993333,112.72,2706,3235.946667,0,0.04,85.373333,0,5.913333,0,22.906667,11.26,32.146667,75.5,48.273333
24,5.273333,10,174.626667,122.206667,2706,3214.966667,0.02,0.033333,92.6,0,5.826667,0,24.526667,11.36,35.006667,75.5,52.42
25,5.42,10,188.86,132.186667,2706,3193.546667,0.02,0.04,99.693333,0,6.673333,0,26.286667,11.286667,37.853333,75.5,56.673333
26,5.613333,10,203.633333,142.726667,2706,3171.406667,0.013333,0.033333,106.54,0,7.586667,0,28.173333,11.366667,41.266667,75.5,60.906667
27,5.686667,10,218.353333,153.44,2706,3150.033333,0.02,0.02,115.54,0,8.32,0,29.433333,11.373333,45.4,75.5,64.913333
28,5.613333,10,235.54,165.273333,2706,3124.966667,0.02,0.08,123.053333,0,8.94,0,32.533333,11.406667,49.48,75.5,70.266667
29,5.613333,10,254.34,178.12,2706,3097.626667,0.026667,0.06,133.1,0,9.34,0,35.193333,11.486667,53.786667,75.5,76.22
30,5.606667,10,274.72,192.093333,2706,3067.9,0.02,0.06,143.44,0,10.193333,0,38.213333,11.64,58.693333,75.5,82.626667
31,5.56,10,295.153333,206.413333,2706,3038.36,0.033333,0.08,152.58,0,10.953333,0,39.94,11.666667,63.92,75.5,88.74
32,5.646667,10,317.826667,221.353333,2706,3005.2,0.066667,0.073333,164.166667,0,11.773333,0,43.273333,11.706667,69.486667,75.5,96.473333
33,5.633333,10,341.92,237.906667,2706,2970.02,0.04,0.073333,175.86,0,12.14,0,46.04,11.786667,75.453333,75.5,104.013333
34,5.473333,10,366.973333,255.16,2706,2933.446667,0.026667,0.08,187.286667,0,13.406667,0,49.233333,12.04,82.013333,75.5,111.813333
35,5.546667,10,394.06,273.506667,2706,2893.86,0.026667,0.06,200.713333,0,14.1,0,52.34,11.92,88.78,75.5,120.553333
36,5.653333,10,422.073333,293.446667,2706,2853.14,0.053333,0.133333,213.16,0,15.446667,0,56.233333,11.786667,96.353333,75.5,128.626667
37,5.773333,10,450.98,313.966667,2706,2810.88,0.073333,0.086667,227.333333,0,16.366667,0,58.733333,11.62,104.286667,75.5,137.013333
38,5.666667,10,482.1,335.033333,2706,2765.786667,0.06,0.113333,239.333333,0,17.653333,0,63.066667,11.693333,112.633333,75.5,147.066667
39,5.673333,10,515.513333,357.906667,2706,2716.953333,0.04,0.146667,255.553333,0,18.553333,0,67.486667,11.673333,121.806667,75.5,157.606667
40,5.5,10,550.5,381.5,2706,2665.813333,0.046667,0.153333,272.226667,0,19.58,0,71.486667,12,131.68,75.5,169
41,5.54,10,585.48,404.566667,2706,2614.34,0.02,0.173333,284.933333,0,21.8,0,74.193333,12.006667,141.273333,75.5,180.913333
42,5.673333,10,621.94,430.42,2706,2560.16,0.026667,0.173333,301.766667,0,23.253333,0,78.593333,11.946667,152.14,75.5,191.52
43,5.7,10,660.306667,456.44,2706,2502.9,0.06,0.153333,316.773333,0,24.326667,0,82.953333,11.98,163.453333,75.5,203.866667
44,5.726667,10,701.246667,484.6,2706,2441.78,0.046667,0.166667,335.686667,0,25.506667,0,87.753333,11.813333,174.886667,75.5,216.646667
45,5.653333,10,743.513333,513.573333,2706,2378.333333,0.033333,0.186667,351.546667,0,27.073333,0,92.933333,11.833333,188.006667,75.5,229.94
46,5.606667,10,788.173333,543.693333,2706,2311.553333,0.066667,0.206667,368.94,0,28.086667,0,97.326667,11.9,201.493333,75.5,244.48
47,5.626667,10,832.74,574.413333,2706,2244.626667,0.046667,0.18,382.806667,0,29.613333,0,101.173333,12.02,216.48,75.5,258.326667
48,5.593333,10,877.373333,604.953333,2706,2177.693333,0.02,0.126667,398.653333,0,32.026667,0,104.58,11.873333,231.453333,75.5,272.42
49,5.493333,10,921.046667,633.86,2706,2112.286667,0.033333,0.246667,413.286667,0,33.573333,0,106.646667,11.993333,246.986667,75.5,287.186667
50,5.446667,10,966.82,664.5,2706,2043.926667,0.02,0.253333,430.86,0,35.346667,0,112.833333,12,263.113333,75.5,302.32
51,5.373333,10,1013.486667,696.173333,2706,1973.793333,0.026667,0.273333,443.026667,0,36.64,0,117.06,12.086667,281.12,75.5,317.313333
52,5.3,10,1059.973333,727.08,2706,1904.373333,0.02,0.286667,458.16,0,38.606667,0,120.853333,12.12,299.926667,75.5,332.893333
53,5.34,10,1104.573333,756.973333,2706,1837.273333,0.046667,0.313333,468.506667,0,40.52,0,122.366667,12.173333,318.973333,75.5,347.6
54,5.286667,10,1148.233333,785.286667,2706,1771.886667,0.04,0.306667,480.713333,0,41.62,0,125.013333,12.113333,339.653333,75.5,362.946667
55,5.273333,10,1193.906667,814.96,2706,1703.24,0.026667,0.346667,494.893333,0,43.086667,0,130.28,12.006667,359.806667,75.5,378.946667
56,5.166667,10,1237.126667,843.546667,2706,1627.2,0.013333,0.4,501.16,0,45.113333,0,131.666667,12.213333,381.306667,75.5,393.58
57,5.293333,10,1276.753333,868.24,2706,1539.766667,0.013333,0.346667,507.72,0,46.346667,0,132.133333,12.126667,403.673333,75.5,408.513333
58,5.353333,10,1314.793333,891.386667,2706,1492.566667,0.02,0.3,514.233333,0,47.886667,0,133.813333,12.086667,426.073333,75.5,423.406667
59,5.426667,10,1352.233333,913.573333,2706,1450.346667,0.04,0.38,519.653333,0,48.06,0,135.666667,12,449.48,75.5,438.66
60,5.613333,10,1387.353333,933.66,2706,1403.48,0.046667,0.393333,523.76,0,50.3,0,137.133333,11.84,472.286667,75.5,453.693333
61,5.713333,10,1418.66,952.366667,2706,1355.413333,0.046667,0.373333,525.98,0,51.846667,0,137.966667,11.813333,496.053333,75.5,466.293333
62,5.613333,10,1449.74,967.506667,2706,1305.953333,0.04,0.446667,526.086667,0,52.4,0,138.366667,11.986667,519.146667,75.5,482.233333
63,5.646667,10,1474.066667,980.473333,2706,1265.013333,0.04,0.38,525.36,0,54.013333,0,136.733333,11.966667,543.84,75.5,493.593333
64,5.62,10,1495.726667,990.2,2706,1228.826667,0.066667,0.353333,518.386667,0,53.546667,0,135.56,11.993333,568.84,75.5,505.526667
65,5.586667,10,1514.726667,998.84,2706,1198.38,0.046667,0.353333,513.926667,0,54.5,0,135.653333,11.933333,593.486667,75.5,515.886667
66,5.613333,10,1527.526667,1002.94,2706,1178.046667,0.053333,0.446667,510.466667,0,55.053333,0,132.44,11.84,619.033333,75.5,524.586667
67,5.533333,10,1539.393333,1006.106667,2706,1160.313333,0.053333,0.493333,500.3,0,54.94,0,132.3,12.006667,643.393333,75.5,533.286667
68,5.546667,10,1546.066667,1008.453333,2706,1151.506667,0.026667,0.493333,491.486667,0,54.826667,0,129.573333,12.086667,667.446667,75.5,537.613333
69,5.406667,10,1547.546667,1004.166667,2706,1151.046667,0.026667,0.526667,481.533333,0,55.806667,0,126.24,12.273333,691.06,75.5,543.38
70,5.373333,10,1546.3,998.026667,2706,1154.113333,0.033333,0.466667,469.933333,0,55.12,0,123.786667,12.226667,714.22,75.5,548.273333
71,5.266667,10,1539.32,988.84,2706,1163.493333,0.06,0.4,458.52,0,54.686667,0,120.493333,12.4,737.526667,75.5,550.48
72,5.293333,10,1529.606667,979.36,2706,1175.46,0.026667,0.46,444.38,0,53.493333,0,116.513333,12.253333,760.773333,75.5,550.246667
73,5.346667,10,1516.293333,966.92,2706,1189.98,0.04,0.433333,431.153333,0,52.826667,0,113.06,12.266667,781.333333,75.5,549.373333
74,5.46,10,1498.713333,949.613333,2706,1208.906667,0.073333,0.48,416.6,0,52.833333,0,108.966667,12.233333,800.52,75.5,549.1
75,5.386667,10,1478.68,931.26,2706,1232.993333,0.06,0.48,401.3,0,50.193333,0,103.866667,12.226667,817.626667,75.5,547.42
76,5.333333,10,1455.8,911.586667,2706,1263.14,0.04,0.44,387.993333,0,50.306667,0,101.94,12.16,835.213333,75.5,544.213333
77,5.32,10,1428.62,890.066667,2706,1300.326667,0.033333,0.38,372.386667,0,49.273333,0,97.013333,12.246667,851.013333,75.5,538.553333
78,5.246667,10,1398.713333,867.446667,2706,1342.22,0.02,0.466667,357.773333,0,47.926667,0,94.48,12.02,866.526667,75.5,531.266667
79,5.353333,10,1367.866667,841.986667,2706,1385.413333,0.02,0.453333,342.386667,0,46.253333,0,88.273333,11.9,875.893333,75.5,525.88
80,5.533333,10,1335.6,818.846667,2706,1431.306667,0.02,0.38,329.473333,0,44.9,0,86.58,11.826667,884.393333,75.5,516.753333
81,5.48,10,1300.62,790.446667,2706,1480.2,0.026667,0.386667,311.88,0,43.693333,0,81.886667,11.713333,890.72,75.5,510.173333
82,5.553333,10,1262.58,762.4,2706,1532.873333,0.013333,0.36,298.72,0,43.133333,0,78.713333,11.84,896.113333,75.5,500.18
83,5.513333,10,1222.353333,732.873333,2706,1588.346667,0.026667,0.373333,281.766667,0,41.666667,0,73.753333,11.92,900.633333,75.5,489.48
84,5.5,10,1184.026667,704.78,2706,1641.726667,0.006667,0.366667,269.246667,0,38.82,0,70.88,12.006667,902.56,75.5,479.246667
85,5.553333,10,1141.64,674.42,2706,1699.426667,0.006667,0.346667,254.74,0,37.973333,0,65.4,12.04,902.506667,75.5,467.22
86,5.566667,10,1102.3,646.02,2706,1754.94,0.02,0.44,241.666667,0,35.586667,0,63.706667,11.96,899.853333,75.5,456.28
87,5.513333,10,1057.446667,615.64,2706,1817.726667,0.026667,0.34,227.9,0,35.746667,0,59.486667,12.026667,897.106667,75.5,441.806667
88,5.6,10,1015.873333,587.9,2706,1876.906667,0.033333,0.366667,215.606667,0,32.66,0,55.773333,11.946667,889.813333,75.5,427.973333
89,5.613333,10,973.113333,559.773333,2706,1939.073333,0.046667,0.3,203.573333,0,31.946667,0,53.113333,11.813333,883.366667,75.5,413.34
90,5.666667,10,929.813333,532.633333,2706,2002.593333,0.073333,0.28,193.62,0,30.413333,0,50.113333,11.726667,875.266667,75.5,397.18
91,5.766667,10,889.313333,506.713333,2706,2063.693333,0.066667,0.36,183.14,0,28.366667,0,48.586667,11.686667,865.14,75.5,382.6
92,5.7,10,847.213333,480.18,2706,2126.493333,0.1,0.36,171.013333,0,27.333333,0,43.966667,11.946667,851.506667,75.5,367.033333
93,5.56,10,806.106667,455.26,2706,2188.806667,0.053333,0.26,161.893333,0,26.106667,0,42.626667,12.093333,839.08,75.5,350.846667
94,5.486667,10,765.926667,431.193333,2706,2250.546667,0.04,0.273333,150.526667,0,24.613333,0,39.6,12.186667,824.033333,75.5,334.733333
95,5.42,10,727.486667,407.386667,2706,2310.413333,0.046667,0.226667,143.346667,0,23.06,0,37.006667,12.266667,806.013333,75.5,320.1
96,5.546667,10,690.913333,384.166667,2706,2367.173333,0.046667,0.266667,134.306667,0,22.113333,0,35.726667,12.1,786.386667,75.5,306.746667
